Account Name,Billing Address Line 1,Billing Zip/Postal Code,SIC Industry,SIC Code: SIC Code
CONCEPT GDC INC,J-1145 RTE EDOUARD VII,J0L2K0,SMALL CONTRACTOR (1733 SERIES),CSC
TJX CANADA INC,WINNERS MERCHANTS INTL LP 60 STANDISH COURT,L5R0G1,RETAIL/DIY (5200-5999 SERIES),RRD
SOLUPRO ELECTRIQUE INC,PR SOINS INF PH1 RELAC * 6400 16E AVENUE,H1X2S9,MEDIUM CONTRACTOR (1735 SERIES),CMC
CLIMATISATION PAULAIR INC,26 RUE DE SAUVERNY,J5R0B8,HVAC CONTRACTORS,CHVAC
ENTREP FIBROMOULE 9163 0806 QC,********CASH SALE ONLY******** 190 THEBERGE,J5B1X2,"OEM, OTHER EQUIPMENT MANUFACT(3400-3500)",ICM
G DOYON CUISINE INC,8505 BOUL DU QUARTIER,J4Y3K4,RETAIL/DIY (5200-5999 SERIES),RRD
NORTRAX QUEBEC INC,3855 BOUL MATTE *,J4Y2P4,BUSINESS AND MAINTENANCE (7300 SERIES),MMB
FILS ET CABLES ULTRA INC,95 RUE DE GAULLE S,J0L2K0,RETAIL/DIY (5200-5999 SERIES),RRD
FERME LUGIPORC,*******CASH SALE ONLY********* 237 RANG ST-ANTOINE,J0S1R0,FARM AND FOOD PRODUCTION (2011-3999),IFF
SYSTEME INTEGRATION GLOBAL INC,104-550 CH DU GOLF,H3E1A8,CERTIFIED DATA/VOICE CONTRACTOR 17310009,CDVS1
JANLAC INC RD ELECTRIQUE,******CASH SALE ONLY********** 220 RUE ST-JEAN,J4H2X5,CASH SALES (1700 SERIES),CCS
TROIS MOUSQUETAIRES MICROBRASS,9107 9855 QC INC **CASH ONLY** 3755 C BOUL MATTE,J4Y2P4,CASH SALES (1700 SERIES),CCS
LE GROUPE BMA INC,30 RUE DE LA RIVE,J0L2K0,SMALL CONTRACTOR (1733 SERIES),CSC
MECANIQUES LAPIERRE INC,*******CASH SALE ONLY********* 332 A ST-FRANCOIS-XAVIER,J5B1Y1,CASH SALES (1700 SERIES),CCS
LE GROUPE BMA INC,*******CASH SALE ONLY********* 30 RUE DE LA RIVE,J0L2K0,SMALL CONTRACTOR (1733 SERIES),CSC
DEVELOPPEMENT AST,********CASH SALE ONLY******** 1480 BERNARD BOUCHER,J3L3P9,GENERAL CONTRACTORS,CGC
DOMAINE LAC MINEUR,A/S ERIC OUELLETTE ***CASH**** 5634 ALEXANDRE,J4Z1N7,CASH SALES (1700 SERIES),CCS
A S A ELECTRIC INC,1850 BOUL ROME,J4W2W1,SMALL CONTRACTOR (1733 SERIES),CSC
DREXMA INDUSTRIES INC,119-A SIR WILFRID LAURIER,J3N1M2,"OEM, OTHER EQUIPMENT MANUFACT(3400-3500)",ICM
LIFTOW LIMITED,"1380-201, RUE NEWTON",J4B5H2,"OEM, OTHER EQUIPMENT MANUFACT(3400-3500)",ICM
J C B ENTREPRENEUR GENERAUX,PR IVANHOE CAMBRIDGE * 1 PLACE VILLE-MARIE,H3B4A9,LARGE CONTRACTOR (1737 SERIES),CLC
INTERCITE EL DEHIWELA LIYANAGE,********CASH SALE ONLY******** 3240 BEAULIEU,J4Z2P7,SMALL CONTRACTOR (1733 SERIES),CSC
RENOVATION HANDY MAN,********CASH SALE ONLY******** 745 DES PRAIRIES,J4X1E7,CASH SALES (1700 SERIES),CCS
MBE WIRING SOLUTIONS,********CASH SALE ONLY******** 1265 BREUX,J3L2J2,CASH SALES (1700 SERIES),CCS
FRACTAL FIELD SOLUTIONS,********CASH SALE ONLY******** 297 VIVIAN,J4V2T2,CASH SALES (1700 SERIES),CCS
PALADIUM,CTRE SPORTIF PALLADIUM INC 9525 BOUL TASCHEREAU,J4Y2J3,CASH SALES (1700 SERIES),CCS
LL TELECOM,****CASH SALE ONLY***** 123 PACIFIQUE,J5A1J1,CASH SALES (1700 SERIES),CCS
J LAVOIE ELECTRIQUE,9249-3329 QUEBEC INC 61 RUE DE LA SEIGNEURIE,J3G0N1,SMALL CONTRACTOR (1733 SERIES),CSC
ELITRONIC AUDIO VIDEO &,DOMOTIQUE 9026672 CANADA INC* 3755 E MATTE,J4Y2P4,DATA/VOICE CONTRACTOR,CDVS2
STRUCTURES FERMETEC INC,*********CASH SALE ONLY******* 175 RUE BOYER,J0L2A0,CASH SALES (1700 SERIES),CCS
SANI SPORT INC,* 7777 BOUL MARIE-VICTORIN,J4W1B3,BUSINESS AND MAINTENANCE (7300 SERIES),MMB
TG ELECTRIQUE,9333 6881 QUEBEC INC 1705 RUE MARIE DUBOIS,J3L3P9,SMALL CONTRACTOR (1733 SERIES),CSC
TE ELECTRIQUE INC,1964 RUE PRINCIPALE,J3E2N5,SMALL CONTRACTOR (1733 SERIES),CSC
ST JEAN & FILS,134089 CANADA INC 1599 BOUL DE LERY,J6N1C3,SMALL CONTRACTOR (1733 SERIES),CSC
GSR INFORMATIQUE INC,5740 AVENUE NORMAND,J3Y1M5,DATA/VOICE CONTRACTOR,CDVS2
CORP DU THEATRE L ETOILE,100-6000 BOUL DE ROME,J4Y0B6,TOURISM AND ENTERTAINMENT (7800),MET
SSATL SOLUTION GLOBALE,9035 2311 QUEBEC INC 104-3350 1ERE RUE,J3Y8K5,DATA/VOICE CONTRACTOR,CDVS2
GIO ELECTRIQUE INC,50 RUE LOUIS BARITEAU,J5R6L9,SMALL CONTRACTOR (1733 SERIES),CSC
ROCTEST LTEE,680 AVENUE BIRCH,J4P2N3,"OEM, OTHER EQUIPMENT MANUFACT(3400-3500)",ICM
SIMON MERCIER ENTREPRENEUR,ELECTRICIEN INC 179 RUE TANGUAY,J0L2E0,SMALL CONTRACTOR (1733 SERIES),CSC
SEC STATIONNEMENT DE MONTREAL,* 1830 RUE LE BER,H3K2A4,PROVINCIAL GOVERNMENT & AGENCIES,MPGA
CFM SYSTEMES INC,8595 RUE ODESSA,J4Y3C3,FARM AND FOOD PRODUCTION (2011-3999),IFF
F CONSTRUCTION INC,******CASH SALE ONLY********** 475 RUE DES TULIPES,J5R4N2,CASH SALES (1700 SERIES),CCS
ENTREPRISES LAAM,********CASH SALE ONLY******** 100-2499 ST GEORGES,J4R2T4,BUSINESS AND MAINTENANCE (7300 SERIES),MMB
RESTAURANT MICHEL & ANGELO,7165099 CANADA INC 204-8005 BOUL DU QUARTIER,J4Y0N5,MEDIUM CONTRACTOR (1735 SERIES),CMC
PECK TECH CONSULTING LTD,********CASH SALE ONLY******** 24 RUE MOQUIN,J5A1V5,MINING AND SMELTING (1001-1499 SERIES),IMS
CANADA YAWOW INTL INC,*******CASH SALE ONLY********* 2400 BOUL FORD,J6J4Z2,CASH SALES (1700 SERIES),CCS
INFRAROUGE KELVIN INC,3225 RUE BELVEDERE,J4Z2R2,SMALL CONTRACTOR (1733 SERIES),CSC
BIO SERVICE MONTREAL INC,3455-K RUE ISABELLE,J4R2Y2,"OEM, OTHER EQUIPMENT MANUFACT(3400-3500)",ICM
CHANDELLES TRADITION MB INC,7 RUE ST-JOSEPH,J5A0B6,"OEM, OTHER EQUIPMENT MANUFACT(3400-3500)",ICM
LES ENTREP SIMON STE MARIE INC,259 RANG LA FRENIERE,J0L1Y0,SMALL CONTRACTOR (1733 SERIES),CSC
GROUPE TCR INC,*******CASH SALE ONLY********* 3320 RUE BOUTHILLIER,J3L0J3,CASH SALES (1700 SERIES),CCS
OPTIMONT INC,9995-H RUE DE CHATEAUNEUF,J4Z3V7,"OEM, OTHER EQUIPMENT MANUFACT(3400-3500)",ICM
H BERGERON MECANIQUE UNIVERSEL,*******CASH SALE ONLY********* 1451 MONTRR STE JULIE,J3E1Y2,SMALL CONTRACTOR (1733 SERIES),CSC
PAVAGE AXION INC,202-9500 PLACE JADE,J4Y3C1,SMALL CONTRACTOR (1733 SERIES),CSC
CLIMATISATION CHAUFFAGE ET,SERVICES NOR CAN INC 403-A BOUL ST-JEAN-BAPTISTE,J6R2B2,ENERGY SAVINGS CONTRACTORS (8700 SERIES),CES
TORMAX INC,4200-C BOUL MATTE,J4Y3J5,DEVELOPERS AND BUILDERS,CDB
GROUPE DPS LTEE,********CASH SALE ONLY******** 1205 1ERE AVENUE,J5C1C5,CASH SALES (1700 SERIES),CCS
LUXAZ,9266 3764 QUEBEC INC 3755-E BOUL MATTE,J4Y2P4,DEVELOPERS AND BUILDERS,CDB
NOUVELLE AUTOROUTE 30 SENC,5388 AV PIERRE-DANSEREAU,J6S0J8,TRANSP AND DISTRIBUTION 4011-4619 SERIES,ITD
ANNE MARIE LUSSIER INC,******* CASH SALE ONLY******** 865 BOUL ST LUC,J2W2G6,CASH SALES (1700 SERIES),CCS
VOLTRIQUE INC,********CASH SALE ONLY******** 132 RUE VIAU,J5B1J4,SMALL CONTRACTOR (1733 SERIES),CSC
KIA SAINT CONSTANT,9245 9163 QUEBEC INC 48 RUE SAINT-PIERRE,J5A1B9,BUSINESS AND MAINTENANCE (7300 SERIES),MMB
ENERCO,9358 3979 QUEBEC INC 356 RUE NELLIGAN,J3G3N5,SMALL CONTRACTOR (1733 SERIES),CSC
REGIE D ASSAINISSEMENT DES,EAUX RICHELIEU/ST LAURENT 105 BOUL POLIQUIN,J3P0K7,.,MCAF
LES ENTREPRISES MST,9176 4829 QUEBEC INC 260 BOUL SAINT JEAN BAPTISTE,J6K3C2,ENERGY SAVINGS CONTRACTORS (8700 SERIES),CES
VILLE DE DEUX-MONTAGNES,TRAVAUX PUBLIQUES 625 20E AVE,J7R6B2,GOVERNMENT & AGENCIES (9100-9400 SERIES),MCA
FERRONNERIE MICHEL INC,1906 CH OKA,J7R1N4,RETAIL/DIY (5200-5999 SERIES),RRD
R DUMAS & ASSOCIES,4085 LAVOISIER,J7H1W1,INDUSTRIAL CONTRACTORS (1738 SERIES),CIC
LES ATELIERS JANOR INC,174 RANG SAINTE-SOPHIE RR 1,J0N1E0,"OEM, OTHER EQUIPMENT MANUFACT(3400-3500)",ICM
D TRI CITE,9179-4370 QUEBEC INC 33 58E AV,J7P3L8,SMALL CONTRACTOR (1733 SERIES),CSC
THEO ELECTRIQUE,8585 CROIS RENE-RICHARD,J7N3J4,RESIDENTIAL CONTRACTOR,CRC
NEDCO KANATA DIV REXEL CDA INC,BUILDING D 2710 CARP RD,K0A1L0,.,999
* INVENTAIRE USAGE KANATA,A/S DIRECTEUR DES OPERATIONS 2710 CARP ROAD,K0A1L0,.,RWW
SPECIAL C.O.D./ KANATA****CASH,C/O NEDCO KANATA ****CASH SALE ONLY************,K1G0Y9,ALARM & SECURITY INSTALLERS 17310001,CAS
"SPECIAL ""COD"" /CARP CASH",C/O NEDCO CARP *****CONTRACTORS CASH SALE****,H0H0H0,SMALL CONTRACTOR (1733 SERIES),CSC
BRIDGESTONE CANADA INC,FOURNISSEUR *511658 1200 BOUL FIRESTONE,J6E2W5,OTHER INDUSTRIAL PLANTS (3200 & 3300),IIP
